coachID,year,tmID,stint,coach_changed,win_pct_vs_league,playoff_win_pct,eff_diff,def_four_factors,career_win_pct
peckca99wc,2,ORL,0,1,-0.10738075657894741,0.0,-0.08618264225714456,0.43235804373630865,0.453125
brownde01w,3,ORL,0,1,-0.00040974650349645536,0.0,-0.03342491921698554,0.4247685443855697,0.5
millech99w,1,PHO,0,1,0.12630208333333331,0.0,0.0962205203014832,0.43680297949155966,0.625
coopecy01w,2,PHO,0,1,-0.10738075657894741,0.0,-0.05664879188982219,0.43106554915593726,0.40625
sharpli99w,3,PHO,2,1,-0.27313701923076916,0.0,-0.11819880365640656,0.42464151693271046,0.22727272727272727
shumajo01w,4,PHO,0,1,-0.2888655462184874,0.0,-0.21489965779210074,0.43643364393822787,0.23529411764705882
grafca99wc,5,PHO,0,0,-0.007552527914518881,0.0,-0.014711978545383753,0.440304104762009,0.5
grafca99wc,6,PHO,0,1,-0.051734539969834126,0.0,0.002918187578289322,0.4391295487672355,0.4852941176470588
westhpa99w,7,PHO,0,0,0.04392666157372038,0.0,-0.003810077573360493,0.42258262907822564,0.5294117647058824
westhpa99w,8,PHO,0,1,0.17164404223227758,0.7777769135812072,0.10087303699237715,0.42155305288672607,0.6029411764705882
gaineco01w,9,PHO,0,0,-0.02030812324929976,0.0,-0.011903126073514292,0.4190202339564001,0.47058823529411764
gaineco01w,10,PHO,0,0,0.1669307921679839,0.6363630578517656,0.11216736518951032,0.42239325679199735,0.5735294117647058
hargrli99w,1,POR,0,0,-0.18619791666666669,0.0,-0.06800281727184299,0.43326832267512294,0.3125
hargrli99w,2,POR,0,0,-0.1698807565789474,0.0,-0.02853836561751244,0.44322938536138806,0.328125
hargrli99w,3,POR,0,1,-0.00040974650349645536,0.0,-0.056368291034863294,0.434412918669481,0.3854166666666667
allenso99w,1,SAC,0,1,0.15755208333333331,0.0,0.04109953136289857,0.4356747981507983,0.65625
mchugma99w,2,SAC,2,0,0.18636924342105254,0.5999988000024,0.09420924337910552,0.4497203187115447,0.7
mchugma99w,3,SAC,0,1,-0.06290974650349646,0.0,-0.06641647360013536,0.4284006081683124,0.5384615384615384
whisejo99w,4,SAC,2,0,0.22584033613445376,0.4999991666680556,-0.02188371640107123,0.4477769627752759,0.75
whisejo99w,5,SAC,0,0,0.02185923679136348,0.4999991666680556,-0.08128526878526876,0.4369849548866729,0.6
whisejo99w,6,SAC,0,0,0.2129713423831071,0.8749989062513672,0.024601447654149622,0.4622741988213403,0.6547619047619048
whisejo99w,7,SAC,0,1,0.13216195569136746,0.666665925926749,-0.0310626549088453,0.44335200669194363,0.6440677966101694
bouceje01w,8,SAC,0,0,0.053996983408748145,0.3333322222259259,-0.050361662514590844,0.43913646395022105,0.5588235294117647
bouceje01w,9,SAC,0,1,0.03851540616246496,0.3333322222259259,-0.02939021650931406,0.4310354292604989,0.5441176470588235
whisejo99w,10,SAC,2,0,-0.08096836749588171,0.0,-0.021558119499909045,0.41555644583621026,0.6115107913669064
dailesh99w,4,SAS,2,1,-0.024159663865546244,0.0,-0.044266092558880255,0.4378951465154548,0.5
brownde01w,5,SAS,2,1,-0.2767832971452881,0.0,-0.05084821221775582,0.4264727532999465,0.3793103448275862
hugheda99w,6,SAS,0,0,-0.3164404223227753,0.0,0.0019305024420086525,0.4195552375759,0.4451219512195122
hugheda99w,7,SAS,0,0,-0.10313216195569141,0.0,-0.031904540651386704,0.4252863514861526,0.43434343434343436
hugheda99w,8,SAS,0,0,0.0834087481146305,0.39999920000160005,-0.004580763757115802,0.4358785010476032,0.45689655172413796
hugheda99w,9,SAS,0,0,0.21498599439775912,0.44444395061783265,0.15930926735087914,0.4470389198801265,0.48872180451127817
hugheda99w,10,SAS,0,0,-0.06836332547907498,0.3333322222259259,0.026446550898515442,0.4180231962805162,0.48333333333333334
