playerID,year,tmID,stint,pos,won_mvp,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,ppg,rpg,apg,spg,bpg,mpg,topg,fgMade,fgAttempted,fg_pct,ftMade,ftAttempted,ft_pct,threeMade,threeAttempted,three_pct,usage_rate,true_shooting,ast_to_ratio,per_approx,made_playoffs,PostGP,PostPoints,PostRebounds,PostAssists,playoff_ppg,playoff_rpg,playoff_apg,prev_ppg,prev_rpg,prev_apg,prev_per_approx,prev_fg_pct,prev_true_shooting,ppg_improvement,rpg_improvement,apg_improvement,per_approx_improvement,years_experience,won,lost,team_win_pct,playoff,rank,confID,o_pts,d_pts,team_point_diff,height,weight
reddja01w,1,SEA,0,F,0,26,8,387,140,45,16,19,1,35,53,5.384615384615385,1.7307692307692308,0.6153846153846154,0.7307692307692307,0.038461538461538464,14.884615384615385,1.3461538461538463,49,125,0.392,24,34,0.7058823529411765,18,52,0.34615384615384615,0.45209302325581396,0.5001428979708488,0.45714285714285713,3.8461538461538463,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,0,6,26,0.1875,N,8,WE,1822,2171,-349,73.0,164
reddja01w,2,SEA,0,F,0,32,6,659,231,82,48,17,3,48,101,7.21875,2.5625,1.5,0.53125,0.09375,20.59375,1.5,82,216,0.37962962962962965,45,66,0.6818181818181818,22,77,0.2857142857142857,0.4446737481031866,0.47135161606268366,1.0,5.5625,0,0,0,0,0,0.0,0.0,0.0,5.384615384615385,1.7307692307692308,0.6153846153846154,3.8461538461538463,0.392,0.5001428979708488,1.834134615384615,0.8317307692307692,0.8846153846153846,1.7163461538461537,1,10,22,0.3125,N,8,WE,1921,2048,-127,73.0,164
reddja01w,3,SEA,0,F,0,10,0,112,52,13,7,2,0,7,17,5.2,1.3,0.7,0.2,0.0,11.2,0.7,17,34,0.5,9,12,0.75,9,18,0.5,0.4132142857142857,0.6619144602851323,1.0,4.7,0,0,0,0,0,0.0,0.0,0.0,7.21875,2.5625,1.5,5.5625,0.37962962962962965,0.47135161606268366,-2.01875,-1.2625,-0.8,-0.8624999999999998,2,17,15,0.53125,Y,4,WE,2188,2103,85,73.0,164
reedbr01w,1,PHO,0,F,0,32,30,1090,608,187,86,66,21,90,52,19.0,5.84375,2.6875,2.0625,0.65625,34.0625,2.8125,231,456,0.506578947368421,128,142,0.9014084507042254,18,43,0.4186046511627907,0.5582385321100918,0.5863292701743558,0.9555555555555556,19.96875,1,2,28,7,8,14.0,3.5,4.0,,,,,,,,,,,0,20,12,0.625,Y,4,WE,2243,2102,141,73.0,168
reedbr01w,2,PHO,0,F,0,1,0,13,3,3,0,0,0,0,0,3.0,3.0,0.0,0.0,0.0,13.0,0.0,1,8,0.125,1,1,1.0,0,0,0.0,0.6492307692307692,0.17772511848341233,0.0,-1.0,0,0,0,0,0,0.0,0.0,0.0,19.0,5.84375,2.6875,19.96875,0.506578947368421,0.5863292701743558,-16.0,-2.84375,-2.6875,-20.96875,1,13,19,0.40625,N,5,WE,2064,2169,-105,73.0,168
reedbr01w,3,PHO,0,F,0,5,4,85,38,4,4,2,3,8,8,7.6,0.8,0.8,0.4,0.6,17.0,1.6,15,41,0.36585365853658536,8,11,0.7272727272727273,0,5,0.0,0.6334117647058823,0.4144851657940663,0.5,2.8,0,0,0,0,0,0.0,0.0,0.0,3.0,3.0,0.0,-1.0,0.125,0.17772511848341233,4.6,-2.2,0.8,3.8,2,11,21,0.34375,N,7,WE,2091,2291,-200,73.0,168
reidtr01w,1,CHA,0,F,0,29,17,620,211,100,29,14,9,51,47,7.275862068965517,3.4482758620689653,1.0,0.4827586206896552,0.3103448275862069,21.379310344827587,1.7586206896551724,86,180,0.4777777777777778,39,72,0.5416666666666666,0,2,0.0,0.4236774193548387,0.49839380196523053,0.5686274509803921,6.379310344827586,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,0,8,24,0.25,N,8,EA,2186,2429,-243,71.0,150
reidtr01w,2,MIA,0,F,0,21,2,278,80,37,13,15,5,25,28,3.8095238095238093,1.7619047619047619,0.6190476190476191,0.7142857142857143,0.23809523809523808,13.238095238095237,1.1904761904761905,32,63,0.5079365079365079,16,26,0.6153846153846154,0,0,0.0,0.35769784172661867,0.537345513164965,0.52,4.0,1,3,4,5,1,1.3333333333333333,1.6666666666666667,0.3333333333333333,7.275862068965517,3.4482758620689653,1.0,6.379310344827586,0.4777777777777778,0.49839380196523053,-3.4663382594417076,-1.6863711001642034,-0.38095238095238093,-2.3793103448275863,1,20,12,0.625,Y,3,EA,1957,1898,59,71.0,150
reidtr01w,3,PHO,0,F,0,24,12,421,113,77,14,22,2,36,29,4.708333333333333,3.2083333333333335,0.5833333333333334,0.9166666666666666,0.08333333333333333,17.541666666666668,1.5,48,117,0.41025641025641024,17,28,0.6071428571428571,0,1,0.0,0.39268408551068884,0.4369007114135478,0.3888888888888889,4.666666666666667,0,0,0,0,0,0.0,0.0,0.0,3.8095238095238093,1.7619047619047619,0.6190476190476191,4.0,0.5079365079365079,0.537345513164965,0.8988095238095237,1.4464285714285716,-0.0357142857142857,0.666666666666667,2,11,21,0.34375,N,7,WE,2091,2291,-200,71.0,150
reidtr01w,4,PHO,0,F,0,2,0,12,2,1,1,2,0,1,4,1.0,0.5,0.5,1.0,0.0,6.0,0.5,1,3,0.3333333333333333,0,0,0.0,0,0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.5,0,0,0,0,0,0.0,0.0,0.0,4.708333333333333,3.2083333333333335,0.5833333333333334,4.666666666666667,0.41025641025641024,0.4369007114135478,-3.708333333333333,-2.7083333333333335,-0.08333333333333337,-3.166666666666667,3,8,26,0.23529411764705882,N,7,WE,2097,2270,-173,71.0,150
