playerID,year,tmID,stint,pos,won_roy,is_rookie,years_experience,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,ppg,rpg,apg,spg,bpg,mpg,topg,fgMade,fgAttempted,fg_pct,ftMade,ftAttempted,ft_pct,threeMade,threeAttempted,three_pct,usage_rate,true_shooting,ast_to_ratio,per_approx,starting_pct,made_playoffs,PostGP,PostPoints,PostRebounds,PostAssists,playoff_ppg,won,lost,team_win_pct,playoff,rank,confID,o_pts,d_pts,team_point_diff,height,weight
berthlu01w,3,CLE,0,F-C,0,1,0,5,0,16,8,4,0,0,0,0,5,1.6,0.8,0.0,0.0,0.0,3.2,0.0,3,7,0.42857142857142855,2,4,0.5,0,1,0.0,0.5475,0.4566210045662101,0.0,1.2,0.0,0,0,0,0,0,0.0,10,22,0.3125,N,7,EA,2071,2140,-69,74.0,188
beviltu01w,1,POR,0,G,0,1,0,32,32,796,153,95,89,41,6,66,93,4.78125,2.96875,2.78125,1.28125,0.1875,24.875,2.0625,40,112,0.35714285714285715,56,72,0.7777777777777778,17,60,0.2833333333333333,0.2634170854271357,0.5324331848552338,1.3484848484848484,7.1875,1.0,0,0,0,0,0,0.0,10,22,0.3125,N,7,WE,2155,2303,-148,67.0,145
bibbyje01w,1,NYL,0,G,0,1,0,17,0,69,19,5,11,3,0,12,9,1.1176470588235294,0.29411764705882354,0.6470588235294118,0.17647058823529413,0.0,4.0588235294117645,0.7058823529411765,3,18,0.16666666666666666,11,13,0.8461538461538461,2,6,0.3333333333333333,0.5176811594202898,0.40050590219224286,0.9166666666666666,0.5294117647058824,0.0,1,3,4,0,2,1.3333333333333333,20,12,0.625,Y,1,EA,2148,2035,113,67.0,139
bibrzag01w,5,SAS,0,G-F,0,1,0,24,9,465,159,28,40,21,7,32,38,6.625,1.1666666666666667,1.6666666666666667,0.875,0.2916666666666667,19.375,1.3333333333333333,55,151,0.36423841059602646,23,26,0.8846153846153846,26,84,0.30952380952380953,0.41815053763440857,0.4894114750061561,1.25,5.166666666666667,0.375,0,0,0,0,0,0.0,9,25,0.2647058823529412,N,7,WE,2191,2364,-173,74.0,168
birdsu01w,3,SEA,0,G,0,1,0,32,32,1121,461,83,191,55,3,109,48,14.40625,2.59375,5.96875,1.71875,0.09375,35.03125,3.40625,151,375,0.4026666666666667,102,112,0.9107142857142857,57,142,0.4014084507042254,0.47571810883140053,0.5432733100782502,1.7522935779816513,14.0625,1.0,1,2,28,0,12,14.0,17,15,0.53125,Y,4,WE,2188,2103,85,69.0,150
bjorkte01w,5,CHA,0,C,0,1,0,4,0,13,2,0,0,0,0,1,1,0.5,0.0,0.0,0.0,0.0,3.25,0.25,1,3,0.3333333333333333,0,0,0.0,0,0,0.0,0.3076923076923077,0.3333333333333333,0.0,-0.25,0.0,0,0,0,0,0,0.0,16,18,0.47058823529411764,N,5,EA,2092,2168,-76,76.0,175
blackch01w,10,CON,0,C,0,1,0,33,8,428,97,107,6,13,27,25,54,2.9393939393939394,3.242424242424242,0.18181818181818182,0.3939393939393939,0.8181818181818182,12.969696969696969,0.7575757575757576,35,92,0.3804347826086957,27,43,0.627906976744186,0,1,0.0,0.31757009345794396,0.43725207356653445,0.24,4.606060606060606,0.24242424242424243,0,0,0,0,0,0.0,16,18,0.47058823529411764,N,6,EA,2651,2654,-3,77.0,188
blackde01w,1,MIA,0,G,0,1,0,32,32,820,152,92,98,58,1,50,86,4.75,2.875,3.0625,1.8125,0.03125,25.625,1.5625,57,150,0.38,29,42,0.6904761904761905,9,42,0.21428571428571427,0.2664390243902439,0.45109211775878444,1.96,7.65625,1.0,0,0,0,0,0,0.0,13,19,0.40625,N,6,EA,1831,2001,-170,63.0,124
blodgci01w,1,SAC,0,G,0,1,0,20,0,133,52,9,3,8,1,13,9,2.6,0.45,0.15,0.4,0.05,6.65,0.65,20,50,0.4,4,6,0.6666666666666666,8,28,0.2857142857142857,0.49353383458646616,0.4939209726443769,0.23076923076923078,1.4,0.0,0,0,0,0,0,0.0,21,11,0.65625,Y,3,WE,2343,2176,167,69.0,130
blueni01w,7,WAS,0,G,0,1,0,24,0,181,54,20,36,18,0,18,36,2.25,0.8333333333333334,1.5,0.75,0.0,7.541666666666667,0.75,14,54,0.25925925925925924,25,31,0.8064516129032258,1,12,0.08333333333333333,0.47314917127071826,0.3991720875221762,2.0,2.6666666666666665,0.0,1,1,0,1,0,0.0,18,16,0.5294117647058824,Y,4,EA,2747,2657,90,68.0,163
blueoc01w,4,HOU,0,F,0,1,0,16,0,37,4,2,2,0,0,2,3,0.25,0.125,0.125,0.0,0.0,2.3125,0.125,1,4,0.25,2,4,0.5,0,0,0.0,0.20972972972972972,0.3472222222222222,1.0,0.0625,0.0,1,1,0,0,1,0.0,20,14,0.5882352941176471,Y,2,WE,2244,2142,102,73.0,163
bobbish01w,9,LAS,0,G,0,1,0,26,17,552,106,64,90,25,1,63,40,4.076923076923077,2.4615384615384617,3.4615384615384617,0.9615384615384616,0.038461538461538464,21.23076923076923,2.423076923076923,35,127,0.2755905511811024,16,22,0.7272727272727273,20,71,0.28169014084507044,0.3617391304347826,0.3877670471173544,1.4285714285714286,4.8076923076923075,0.6538461538461539,1,6,27,9,18,4.5,20,14,0.5882352941176471,Y,3,WE,2598,2523,75,62.0,130
boddiwh01w,10,SAC,0,G,0,1,0,4,0,9,2,0,0,1,0,1,1,0.5,0.0,0.0,0.25,0.0,2.25,0.25,1,1,1.0,0,0,0.0,0,0,0.0,0.2222222222222222,1.0,0.0,0.5,0.0,0,0,0,0,0,0.0,12,22,0.35294117647058826,N,6,WE,2610,2690,-80,69.0,149
boltoru01w,1,SAC,0,G,0,1,0,29,29,868,380,106,57,34,1,45,60,13.10344827586207,3.6551724137931036,1.9655172413793103,1.1724137931034482,0.034482758620689655,29.93103448275862,1.5517241379310345,133,368,0.36141304347826086,64,84,0.7619047619047619,50,160,0.3125,0.5183870967741935,0.4691821414460688,1.2666666666666666,9.586206896551724,1.0,1,2,39,9,7,19.5,21,11,0.65625,Y,3,WE,2343,2176,167,69.0,150
bondla01w,7,CHA,0,G,0,1,0,34,5,614,193,49,73,35,8,80,83,5.676470588235294,1.4411764705882353,2.1470588235294117,1.0294117647058822,0.23529411764705882,18.058823529411764,2.3529411764705883,63,158,0.3987341772151899,57,77,0.7402597402597403,10,46,0.21739130434782608,0.4428013029315961,0.5029184907233688,0.9125,4.794117647058823,0.14705882352941177,0,0,0,0,0,0.0,11,23,0.3235294117647059,N,6,EA,2456,2571,-115,67.0,132
bonfisu01w,3,PHO,0,G,0,1,0,22,6,306,105,37,23,12,0,18,35,4.7727272727272725,1.6818181818181819,1.0454545454545454,0.5454545454545454,0.0,13.909090909090908,0.8181818181818182,43,89,0.48314606741573035,19,25,0.76,0,6,0.0,0.38562091503267976,0.525,1.2777777777777777,4.863636363636363,0.2727272727272727,0,0,0,0,0,0.0,11,21,0.34375,N,7,WE,2091,2291,-200,68.0,145
bonnede01w,10,PHO,0,G,0,1,0,34,0,724,381,196,13,23,25,34,70,11.205882352941176,5.764705882352941,0.38235294117647056,0.6764705882352942,0.7352941176470589,21.294117647058822,1.0,127,278,0.4568345323741007,125,154,0.8116883116883117,2,13,0.15384615384615385,0.5245303867403315,0.5509602036094401,0.38235294117647056,12.470588235294118,0.0,1,11,97,47,3,8.818181818181818,23,11,0.6764705882352942,Y,1,WE,3156,3031,125,76.0,136
bowenli01w,8,NYL,0,G,0,1,0,6,1,37,9,2,1,0,0,4,0,1.5,0.3333333333333333,0.16666666666666666,0.0,0.0,6.166666666666667,0.6666666666666666,3,10,0.3,0,0,0.0,3,6,0.5,0.3783783783783784,0.45,0.25,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0.0,16,18,0.47058823529411764,Y,4,EA,2413,2501,-88,67.0,145
boydca01w,2,DET,0,F,0,1,0,21,0,230,75,26,14,11,2,16,32,3.5714285714285716,1.2380952380952381,0.6666666666666666,0.5238095238095238,0.09523809523809523,10.952380952380953,0.7619047619047619,23,67,0.34328358208955223,18,20,0.9,11,36,0.3055555555555556,0.3991304347826087,0.49472295514511877,0.875,3.142857142857143,0.0,0,0,0,0,0,0.0,10,22,0.3125,N,7,EA,2103,2269,-166,73.0,172
braxtka01w,6,DET,0,F-C,0,1,0,33,2,455,227,100,14,18,13,52,78,6.878787878787879,3.0303030303030303,0.42424242424242425,0.5454545454545454,0.3939393939393939,13.787878787878787,1.5757575757575757,97,210,0.46190476190476193,33,60,0.55,0,1,0.0,0.6338461538461538,0.48011844331641285,0.2692307692307692,5.454545454545454,0.06060606060606061,1,2,15,7,2,7.5,16,18,0.47058823529411764,Y,4,EA,2247,2287,-40,78.0,210
